name,solvedCount,contestId,index,rating
Maximize the Largest Component (Hard Version),1013,1985,H2,2200
Maximize the Largest Component (Easy Version),3840,1985,H1,1700
D-Function,6534,1985,G,1600
Final Boss,10933,1985,F,1500
Secret Box,15540,1985,E,1200
Manhattan Circle,27612,1985,D,900
Good Prefixes,24858,1985,C,1000
Maximum Multiple Sum,36097,1985,B,800
Creating Words,40035,1985,A,800
Tower Capturing,113,1984,H,3300
Magic Trick II,145,1984,G,3200
Reconstruction,680,1984,F,2500
Shuffle,1046,1984,E,2400
''a'' String Problem,2559,1984,D,2000
Magnitude (Hard Version),5835,1984,C2,1700
Magnitude (Easy Version),12858,1984,C1,1300
Large Addition,14907,1984,B,1100
Strange Splitting,17894,1984,A,800
Turtle and Paths on a Tree,178,1981,F,3000
Turtle and Intersected Segments,577,1981,E,2600
Turtle and Multiplication,1166,1981,D,2400
Turtle and an Incomplete Sequence,4058,1981,C,1800
Turtle and an Infinite Sequence,11212,1981,B,1300
Turtle and Piggy Are Playing a Game,19153,1981,A,800
Yasya and the Mysterious Tree,884,1980,G,2300
Field Division (hard version),732,1980,F2,2400
Field Division (easy version),2982,1980,F1,1900
Permutation of Rows and Columns,8408,1980,E,1600
GCD-sequence,11703,1980,D,1400
Sofia and the Lost Operations,15743,1980,C,1300
Choosing Cubes,30504,1980,B,800
Problem Generator,35342,1980,A,800
Kostyanych's Theorem,204,1979,F,2900
Manhattan Triangle,1049,1979,E,2400
Fixing a Binary String,5266,1979,D,1800
Earning on Bets,15687,1979,C,1200
XOR Sequences,19459,1979,B,1000
Guess the Maximum,25506,1979,A,800
Large Graph,829,1978,F,2400
Computing Machine,2558,1978,E,2000
Elections,8033,1978,D,1600
Manhattan Permutations,11158,1978,C,1300
New Bakery,17887,1978,B,800
Alice and Books,20339,1978,A,800
Tensor,508,1977,E,2600
XORificator,1449,1977,D,2300
Nikita and LCM,5568,1977,C,1900
Binary Colouring,15507,1977,B,1100
Little Nikita,26932,1977,A,800
Remove Bridges,398,1976,F,2800
Splittable Permutations,759,1976,E,2500
Invertible Bracket Sequences,3310,1976,D,2000
Job Interview,8467,1976,C,1600
Increase/Decrease/Copy,19103,1976,B,1100
Verify Password,24683,1976,A,800
Mind Bloom,48,1975,I,3500
378QAQ and Core,68,1975,H,3500
Zimpha Fan Club,185,1975,G,3000
Set,644,1975,F,2600
Chain Queries,1828,1975,E,2100
Paint the Tree,4858,1975,D,1700
Chamo and Mocha's Array,12262,1975,C,1200
378QAQ and Mocha's Array,15137,1975,B,1000
Bazoka and Mocha's Array,16745,1975,A,800
Money Buys Less Happiness Now ,3535,1974,G,2000
Cutting Game,3010,1974,F,1900
Money Buys Happiness,6530,1974,E,1800
Ingenuity-2,12672,1974,D,1400
Beautiful Triple Pairs,13615,1974,C,1400
Symmetric Encoding,27579,1974,B,800
Phone Desktop,30092,1974,A,800
Maximum GCD Sum Queries,170,1973,F,3100
"Cat, Fox and Swaps ",668,1973,E,2500
"Cat, Fox and Maximum Array Split",1657,1973,D,2400
"Cat, Fox and Double Maximum",7143,1973,C,1700
"Cat, Fox and the Lonely Array",12207,1973,B,1300
Chess For Three,21437,1973,A,900
Coin Games,18822,1972,B,900
Contest Proposal,20715,1972,A,800
±1,1405,1971,H,2100
XOUR,7886,1971,G,1700
Circle Perimeter,8419,1971,F,1600
Find the Car,11946,1971,E,1500
Binary Cut,22661,1971,D,1100
Clock and Strings,28360,1971,C,900
Different String,32144,1971,B,800
My First Sorting Problem,38867,1971,A,800
Min-Fund Prison (Hard),250,1970,G3,2400
Min-Fund Prison (Medium),438,1970,G2,2200
Min-Fund Prison (Easy),1002,1970,G1,1900
Playing Quidditch (Hard),299,1970,F3,2300
Playing Quidditch (Medium),289,1970,F2,2300
Playing Quidditch (Easy),360,1970,F1,2300
Trails (Hard),485,1970,E3,2200
Trails (Medium),893,1970,E2,2000
Trails (Easy),1444,1970,E1,1800
Arithmancy (Hard),85,1970,D3,3100
Arithmancy (Medium),160,1970,D2,2600
Arithmancy (Easy),475,1970,D1,2100
Game on Tree (Hard),1066,1970,C3,1900
Game on Tree (Medium),1835,1970,C2,1700
Game on Tree (Easy),2387,1970,C1,1400
Exact Neighbours (Hard),371,1970,B3,2300
Exact Neighbours (Medium),588,1970,B2,2100
Exact Neighbours (Easy),841,1970,B1,1900
