"name","solvedCount","contestId","index"
"Trip For Meal","8869","876","A"
"Divisiblity of Differences","7941","876","B"
"Classroom Watch","5085","876","C"
"Sorting the Coins","2946","876","D"
"National Property","638","876","E"
"High Cry","492","876","F"
"Maximum splitting","769","871","A"
"Something with XOR Queries","488","871","B"
"Points, Lines and Ready-made Titles","420","871","C"
"Paths","234","871","D"
"Restore the Tree","148","871","E"
"Search for Pretty Integers","4506","872","A"
"Maximum of Maximums of Minimums","5398","872","B"
"Maximum splitting","3220","872","C"
"Something with XOR Queries","339","872","D"
"Points, Lines and Ready-made Titles","215","872","E"
"Search for Pretty Integers","4925","870","A"
"Maximum of Maximums of Minimums","3446","870","B"
"Maximum splitting","4735","870","C"
"Something with XOR Queries","377","870","D"
"Points, Lines and Ready-made Titles","400","870","E"
"Paths","374","870","F"
"Chores","2777","873","A"
"Balanced Substring","1326","873","B"
"Strange Game On Matrix","1174","873","C"
"Merge Sort","539","873","D"
"Awards For Contestants","57","873","E"
"Forbidden Indices","83","873","F"
"The Artful Expedient","9144","869","A"
"The Eternal Immortality","12358","869","B"
"The Intriguing Obsession","4117","869","C"
"The Overdosing Ubiquity","232","869","D"
"The Untended Antiquity","1478","869","E"
"Bark to Unlock","7663","868","A"
"Race Against Time","3472","868","B"
"Qualification Rounds","4094","868","C"
"Huge Strings","888","868","D"
"Policeman and a Tree","460","868","E"
"Yet Another Minimization Problem","3305","868","F"
"El Toll Caves","121","868","G"
"Between the Offices","17398","867","A"
"Save the problem!","2430","867","B"
"Ordering Pizza","747","867","C"
"Gotta Go Fast","67","867","D"
"Buy Low Sell High","740","867","E"
"Hex Dyslexia","8","867","F"
"Save the problem!","850","865","A"
"Ordering Pizza","348","865","B"
"Gotta Go Fast","429","865","C"
"Buy Low Sell High","3496","865","D"
"Hex Dyslexia","77","865","E"
"Egg Roulette","46","865","F"
"Flowers and Chocolate","92","865","G"
"Save the problem!","775","866","A"
"Ordering Pizza","564","866","B"
"Gotta Go Fast","331","866","C"
"Buy Low Sell High","721","866","D"
"Hex Dyslexia","39","866","E"
"Egg Roulette","26","866","F"
"Flowers and Chocolate","44","866","G"
"Fair Game","10899","864","A"
"Polycarp and Letters","8577","864","B"
"Bus","5649","864","C"
"Make a Permutation!","5724","864","D"
"Fire","3934","864","E"
"Cities Excursions","572","864","F"
"Tom Riddle's Diary","16272","855","A"
"Marvolo Gaunt's Ring","7719","855","B"
"Helga Hufflepuff's Cup","1825","855","C"
"Rowena Ravenclaw's Diadem","461","855","D"
"Salazar Slytherin's Locket","1543","855","E"
"Nagini","408","855","F"
"Harry Vs Voldemort","205","855","G"
"Quasi-palindrome","2894","863","A"
"Kayaking","1518","863","B"
"1-2-3","648","863","C"
"Yet Another Array Queries Problem","632","863","D"
"Turn Off The TV","322","863","E"
"Almost Permutation","98","863","F"
"Graphic Settings","0","863","G"
"Mahmoud and Ehab and the MEX","8885","862","A"
"Mahmoud and Ehab and the bipartiteness","14536","862","B"
"Mahmoud and Ehab and the xor","3743","862","C"
"Mahmoud and Ehab and the binary string","1511","862","D"
"Mahmoud and Ehab and the function","1426","862","E"
"Mahmoud and Ehab and the final stage","189","862","F"
"Union of Doubly Linked Lists","1042","847","A"
"Preparing for Merge Sort","817","847","B"
"Sum of Nestings","562","847","C"
"Dog Show","148","847","D"
"Packmen","362","847","E"
"Berland Elections","208","847","F"
"University Classes","1571","847","G"
"Load Testing","726","847","H"
"Noise Level","404","847","I"
"Students Initiation","91","847","J"
"Travel Cards","371","847","K"
"Berland SU Computer Network","65","847","L"
"Weather Tomorrow","1554","847","M"
"k-rounding","3576","858","A"
"Which floor?","1492","858","B"
"Did you mean...","2652","858","C"
"Polycarp's phone book","1601","858","D"
"Tests Renumeration","119","858","E"
"Wizard's Tour","701","858","F"
